Plant_ID,Date,TDS Value (ppm),pH Level
4,8/24/23,418,6.7
4,8/25/23,740,6.1
4,8/26/23,402,6.7
4,8/27/23,652,6.6
4,8/28/23,437,6.7
4,8/29/23,558,6.5
4,8/30/23,525,6.6
4,8/31/23,604,6.5
4,9/1/23,787,6.6
4,9/2/23,711,6.8
4,9/3/23,546,6.3
4,9/4/23,485,6.2
4,9/5/23,497,6.7
4,9/6/23,577,6.1
4,9/7/23,647,6.5
4,9/8/23,564,6.2
4,9/9/23,530,6.2
4,9/10/23,543,6.3
4,9/11/23,491,6.2
4,9/12/23,729,6.6
4,9/13/23,698,6.1
4,9/14/23,530,6.8
4,9/15/23,764,6.4
4,9/16/23,654,6.7
4,9/17/23,652,6.8
4,9/18/23,754,6.1
4,9/19/23,641,6.2
5,8/3/23,651,6.3
5,8/4/23,684,6.6
5,8/5/23,449,6.1
5,8/6/23,572,6.6
5,8/7/23,571,6.7
5,8/8/23,481,6.5
5,8/9/23,558,6.7
5,8/10/23,652,6.5
5,8/11/23,637,6.7
5,8/12/23,417,6.8
5,8/13/23,429,6.2
5,8/14/23,500,6.5
5,8/15/23,675,6.8
5,8/16/23,624,6.3
5,8/17/23,525,6.3
5,8/18/23,778,6
5,8/19/23,678,6.1
5,8/20/23,502,6.7
5,8/21/23,766,6.1
5,8/22/23,722,6.2
5,8/23/23,460,6.2
5,8/24/23,587,6.5
5,8/25/23,646,6.2
5,8/26/23,749,6.7
5,8/27/23,468,6.7
5,8/28/23,470,6.4
5,8/29/23,565,6.5
5,8/30/23,516,6.5
5,8/31/23,410,6.6
5,9/1/23,763,6.1
5,9/2/23,413,6.4
5,9/3/23,468,6.2
5,9/4/23,422,6.5
5,9/5/23,661,6.2
5,9/6/23,605,6.2
5,9/7/23,768,6.8
5,9/8/23,645,6.3
5,9/9/23,661,6.3
5,9/10/23,573,6.4
5,9/11/23,471,6.7
5,9/12/23,738,6.2
5,9/13/23,529,6.1
5,9/14/23,576,6.2
5,9/15/23,453,6.1
5,9/16/23,483,6.5
6,8/3/23,795,6.1
6,8/4/23,738,6.5
6,8/5/23,662,6.4
6,8/6/23,653,6.3
6,8/7/23,521,6.7
6,8/8/23,482,6.7
6,8/9/23,620,6.6
6,8/10/23,740,6.6
6,8/11/23,760,6.3
6,8/12/23,485,6.4
6,8/13/23,648,6.1
6,8/14/23,490,6.6
6,8/15/23,425,6.1
6,8/16/23,755,6.8
6,8/17/23,437,6.6
6,8/18/23,666,6.4
6,8/19/23,583,6.6
6,8/20/23,568,6.2
6,8/21/23,662,6.2
6,8/22/23,553,6.5
6,8/23/23,474,6.7
6,8/24/23,596,6.5
6,8/25/23,614,6.7
6,8/26/23,500,6.2
6,8/27/23,474,6.2
6,8/28/23,515,6.5
6,8/29/23,693,6
6,8/30/23,782,6.2
6,8/31/23,626,6.6
6,9/1/23,512,6.5
6,9/2/23,742,6.5
6,9/3/23,757,6.5
6,9/4/23,456,6.8
6,9/5/23,642,6.4
6,9/6/23,517,6.7
6,9/7/23,701,6
6,9/8/23,793,6.7
6,9/9/23,490,6.5
6,9/10/23,555,6.2
6,9/11/23,549,6.5
6,9/12/23,793,6.4
6,9/13/23,491,6.6
6,9/14/23,789,6.2
6,9/15/23,741,6.3
6,9/16/23,591,6.4
7,8/3/23,459,6.5
7,8/4/23,598,6.3
7,8/5/23,507,6.1
7,8/6/23,583,6.1
7,8/7/23,555,6.2
7,8/8/23,684,6.7
7,8/9/23,769,6.1
7,8/10/23,566,6
7,8/11/23,763,6.5
7,8/12/23,782,6.5
7,8/13/23,432,6.4
7,8/14/23,676,6.8
7,8/15/23,780,6.5
7,8/16/23,778,6.1
7,8/17/23,491,6.6
7,8/18/23,536,6.8
7,8/19/23,701,6.3
7,8/20/23,730,6.4
7,8/21/23,619,6.3
7,8/22/23,503,6.2
7,8/23/23,503,6.2
7,8/24/23,552,6.1
7,8/25/23,617,6.5
7,8/26/23,640,6.6
7,8/27/23,600,6.5
7,8/28/23,670,6.7
7,8/29/23,541,6
7,8/30/23,498,6.5
7,8/31/23,426,6.6
7,9/1/23,583,6.5
7,9/2/23,696,6.7
7,9/3/23,781,6.6
7,9/4/23,436,6.7
7,9/5/23,466,6.6
7,9/6/23,472,6.5
7,9/7/23,749,6.8
7,9/8/23,645,6.4
7,9/9/23,555,6.2
7,9/10/23,545,6.2
7,9/11/23,800,6.7
7,9/12/23,468,6.7
7,9/13/23,777,6.6
7,9/14/23,459,6.6
7,9/15/23,787,6
7,9/16/23,508,6.3
7,9/17/23,696,6.5
7,9/18/23,600,6.2
8,8/3/23,650,6
8,8/4/23,457,6.3
8,8/5/23,454,6.7
8,8/6/23,673,6.4
8,8/7/23,700,6
8,8/8/23,588,6.7
8,8/9/23,434,6.4
8,8/10/23,708,6.6
8,8/11/23,699,6.6
8,8/12/23,403,6.6
8,8/13/23,606,6.3
8,8/14/23,763,6.3
8,8/15/23,727,6.2
8,8/16/23,649,6.4
8,8/17/23,586,6.5
8,8/18/23,415,6.6
8,8/19/23,422,6.4
8,8/20/23,781,6.5
8,8/21/23,742,6.7
8,8/22/23,715,6.1
8,8/23/23,411,6
8,8/24/23,553,6.1
8,8/25/23,565,6.2
8,8/26/23,619,6.3
8,8/27/23,542,6.7
8,8/28/23,559,6.2
8,8/29/23,779,6.5
8,8/30/23,630,6.4
8,8/31/23,483,6.4
8,9/1/23,775,6.6
8,9/2/23,458,6.6
8,9/3/23,438,6.5
8,9/4/23,538,6.4
8,9/5/23,697,6.7
8,9/6/23,605,6.4
8,9/7/23,555,6.6
8,9/8/23,484,6.2
8,9/9/23,763,6.8
8,9/10/23,698,6.7
8,9/11/23,720,6.5
8,9/12/23,768,6.1
8,9/13/23,472,6.2
8,9/14/23,458,6.2
8,9/15/23,632,6.2
8,9/16/23,546,6.2
9,8/3/23,693,6.4
9,8/4/23,434,6
9,8/5/23,671,6.3
9,8/6/23,613,6.1
9,8/7/23,731,6.3
9,8/8/23,658,6.3
9,8/9/23,538,6.6
9,8/10/23,455,6.2
9,8/11/23,646,6.7
9,8/12/23,563,6.8
9,8/13/23,791,6.4
9,8/14/23,473,6.6
9,8/15/23,602,6.3
9,8/16/23,613,6.3
9,8/17/23,613,6.7
9,8/18/23,569,6.4
9,8/19/23,610,6.5
9,8/20/23,746,6.2
9,8/21/23,607,6.1
9,8/22/23,464,6.3
9,8/23/23,474,6.1
9,8/24/23,461,6.1
9,8/25/23,667,6.2
9,8/26/23,721,6.1
9,8/27/23,775,6.6
9,8/28/23,445,6.1
9,8/29/23,635,6.5
9,8/30/23,684,6.7
9,8/31/23,784,6
9,9/1/23,597,6.1
9,9/2/23,501,6.4
9,9/3/23,490,6.4
9,9/4/23,468,6.2
9,9/5/23,680,6.4
9,9/6/23,561,6.7
9,9/7/23,697,6
9,9/8/23,629,6.7
9,9/9/23,644,6.4
9,9/10/23,726,6.7
9,9/11/23,573,6.2
9,9/12/23,793,6.6
9,9/13/23,663,6.5
9,9/14/23,516,6.3
9,9/15/23,455,6.7
9,9/16/23,722,6.1
9,9/17/23,505,6.2
10,8/3/23,503,6.5
10,8/4/23,414,6.5
10,8/5/23,679,6.1
10,8/6/23,607,6.4
10,8/7/23,527,6.3
10,8/8/23,658,6.3
10,8/9/23,623,6.7
10,8/10/23,778,6.6
10,8/11/23,512,6.4
10,8/12/23,800,6.7
10,8/13/23,471,6.2
10,8/14/23,552,6.8
10,8/15/23,701,6.6
10,8/16/23,594,6.5
10,8/17/23,419,6.2
10,8/18/23,579,6.1
10,8/19/23,493,6
10,8/20/23,721,6.4
10,8/21/23,778,6.2
10,8/22/23,668,6.8
10,8/23/23,609,6.6
10,8/24/23,746,6.3
10,8/25/23,725,6.2
10,8/26/23,593,6.3
10,8/27/23,560,6.5
10,8/28/23,597,6.6
10,8/29/23,613,6.6
10,8/30/23,704,6.5
10,8/31/23,585,6.5
10,9/1/23,616,6.1
10,9/2/23,697,6.4
10,9/3/23,623,6.1
10,9/4/23,649,6.4
10,9/5/23,440,6.2
10,9/6/23,469,6.3
10,9/7/23,603,6.4
10,9/8/23,440,6.6
10,9/9/23,648,6.7
10,9/10/23,538,6.7
10,9/11/23,586,6.1
10,9/12/23,794,6.6
10,9/13/23,674,6.3
10,9/14/23,782,6.5
10,9/15/23,578,6.3
10,9/16/23,638,6.2
11,8/3/23,695,6.1
11,8/4/23,706,6.6
11,8/5/23,716,6.6
11,8/6/23,734,6.4
11,8/7/23,431,6.2
11,8/8/23,730,6.7
11,8/9/23,529,6.3
11,8/10/23,489,6.4
11,8/11/23,514,6.2
11,8/12/23,752,6.2
11,8/13/23,557,6.2
11,8/14/23,620,6.1
11,8/15/23,511,6.5
11,8/16/23,462,6.6
11,8/17/23,760,6.4
11,8/18/23,704,6.6
11,8/19/23,466,6.1
11,8/20/23,565,6.4
11,8/21/23,602,6.2
11,8/22/23,602,6.7
11,8/23/23,537,6.7
11,8/24/23,620,6.6
11,8/25/23,539,6.5
11,8/26/23,509,6.3
11,8/27/23,489,6.3
11,8/28/23,589,6.1
11,8/29/23,695,6.5
11,8/30/23,421,6.1
11,8/31/23,402,6.7
11,9/1/23,765,6.5
11,9/2/23,473,6.7
11,9/3/23,749,6.3
11,9/4/23,452,6.3
11,9/5/23,539,6.6
11,9/6/23,519,6.7
11,9/7/23,424,6.6
11,9/8/23,476,6.3
11,9/9/23,662,6
11,9/10/23,552,6.5
11,9/11/23,671,6.4
11,9/12/23,402,6.6
11,9/13/23,690,6.3
11,9/14/23,660,6.3
11,9/15/23,692,6.1
11,9/16/23,508,6.5
11,9/17/23,589,6.4
11,9/18/23,519,6.3
12,8/3/23,611,6.2
12,8/4/23,442,6.7
12,8/5/23,756,6.6
12,8/6/23,732,6.1
12,8/7/23,640,6.3
12,8/8/23,515,6.6
12,8/9/23,435,6.4
12,8/10/23,517,6.2
12,8/11/23,602,6.2
12,8/12/23,711,6
12,8/13/23,712,6.1
12,8/14/23,529,6.8
12,8/15/23,791,6.8
12,8/16/23,710,6.6
12,8/17/23,497,6.3
12,8/18/23,585,6.6
12,8/19/23,742,6.7
12,8/20/23,628,6.7
12,8/21/23,595,6.5
12,8/22/23,463,6.1
12,8/23/23,450,6.7
12,8/24/23,485,6
12,8/25/23,501,6.2
12,8/26/23,483,6.6
12,8/27/23,598,6.5
12,8/28/23,682,6.5
12,8/29/23,577,6.1
12,8/30/23,497,6.6
12,8/31/23,756,6.1
12,9/1/23,467,6.4
12,9/2/23,450,6.1
12,9/3/23,591,6.2
12,9/4/23,693,6.5
12,9/5/23,467,6.7
12,9/6/23,537,6
12,9/7/23,630,6.4
12,9/8/23,612,6.8
12,9/9/23,752,6.2
12,9/10/23,435,6.3
12,9/11/23,616,6.5
12,9/12/23,438,6
12,9/13/23,507,6.4
12,9/14/23,423,6.5
12,9/15/23,538,6.4
12,9/16/23,735,6
13,8/3/23,544,6.8
13,8/4/23,452,6.2
13,8/5/23,789,6.2
13,8/6/23,583,6.5
13,8/7/23,657,6.5
13,8/8/23,435,6.3
13,8/9/23,459,6.1
13,8/10/23,663,6.6
13,8/11/23,415,6.3
13,8/12/23,546,6.8
13,8/13/23,696,6.1
13,8/14/23,656,6.6
13,8/15/23,476,6.3
13,8/16/23,739,6.7
13,8/17/23,772,6.3
13,8/18/23,692,6.7
13,8/19/23,565,6.3
13,8/20/23,463,6.4
13,8/21/23,458,6.2
13,8/22/23,693,6.2
13,8/23/23,667,6.5
13,8/24/23,490,6.8
13,8/25/23,486,6.7
13,8/26/23,626,6.5
13,8/27/23,740,6.7
13,8/28/23,539,6.1
13,8/29/23,475,6.5
13,8/30/23,719,6.4
13,8/31/23,492,6.7
13,9/1/23,425,6.8
13,9/2/23,626,6.2
13,9/3/23,509,6.5
13,9/4/23,518,6
13,9/5/23,744,6.2
13,9/6/23,416,6.6
13,9/7/23,724,6.8
13,9/8/23,423,6.8
13,9/9/23,419,6.4
13,9/10/23,653,6.6
13,9/11/23,589,6.7
13,9/12/23,724,6.3
13,9/13/23,415,6.1
13,9/14/23,609,6.2
13,9/15/23,475,6.1
13,9/16/23,732,6.5
14,8/3/23,535,6.2
14,8/4/23,664,6
14,8/5/23,498,6.3
14,8/6/23,511,6.6
14,8/7/23,589,6.3
14,8/8/23,574,6.7
14,8/9/23,522,6.3
14,8/10/23,714,6.6
14,8/11/23,630,6.7
14,8/12/23,514,6.7
14,8/13/23,602,6
14,8/14/23,769,6.5
14,8/15/23,501,6.1
14,8/16/23,798,6.6
14,8/17/23,455,6.3
14,8/18/23,719,6.1
14,8/19/23,453,6.4
14,8/20/23,652,6.6
14,8/21/23,409,6.4
14,8/22/23,651,6.5
14,8/23/23,466,6
14,8/24/23,498,6.2
14,8/25/23,645,6.3
14,8/26/23,637,6.2
14,8/27/23,743,6.4
14,8/28/23,573,6.2
14,8/29/23,522,6.5
14,8/30/23,413,6.4
14,8/31/23,505,6
14,9/1/23,448,6.5
14,9/2/23,472,6.4
14,9/3/23,710,6.3
14,9/4/23,698,6.4
14,9/5/23,683,6.7
14,9/6/23,434,6.3
14,9/7/23,642,6.4
14,9/8/23,550,6.4
14,9/9/23,590,6.4
14,9/10/23,536,6
14,9/11/23,465,6.4
14,9/12/23,795,6.4
14,9/13/23,449,6.3
14,9/14/23,764,6.4
14,9/15/23,645,6.1
14,9/16/23,663,6.5
15,8/3/23,555,6.1
15,8/4/23,584,6.3
15,8/5/23,590,6.7
15,8/6/23,782,6.7
15,8/7/23,767,6.4
15,8/8/23,459,6
15,8/9/23,741,6.2
15,8/10/23,724,6.5
15,8/11/23,779,6.5
15,8/12/23,743,6.1
15,8/13/23,509,6
15,8/14/23,770,6.1
15,8/15/23,490,6.5
15,8/16/23,409,6.3
15,8/17/23,734,6.5
15,8/18/23,587,6.5
15,8/19/23,501,6.5
15,8/20/23,513,6.5
15,8/21/23,493,6
15,8/22/23,578,6.3
15,8/23/23,609,6.4
15,8/24/23,590,6.2
15,8/25/23,539,6.8
15,8/26/23,759,6.1
15,8/27/23,663,6.6
15,8/28/23,587,6.6
15,8/29/23,474,6.5
15,8/30/23,543,6.1
15,8/31/23,518,6.6
15,9/1/23,725,6.2
15,9/2/23,559,6.6
15,9/3/23,619,6.7
15,9/4/23,415,6.8
15,9/5/23,714,6.5
15,9/6/23,427,6.3
15,9/7/23,501,6
15,9/8/23,584,6.6
15,9/9/23,556,6
15,9/10/23,604,6.8
15,9/11/23,402,6.8
15,9/12/23,403,6.6
15,9/13/23,561,6.1
15,9/14/23,420,6.6
15,9/15/23,708,6
15,9/16/23,783,6.7
16,8/3/23,769,6.7
16,8/4/23,794,6.1
16,8/5/23,533,6.8
16,8/6/23,588,6
16,8/7/23,554,6.6
16,8/8/23,482,6.1
16,8/9/23,779,6.3
16,8/10/23,503,6.1
16,8/11/23,692,6.5
16,8/12/23,454,6.4
16,8/13/23,477,6.6
16,8/14/23,737,6.4
16,8/15/23,454,6.7
16,8/16/23,654,6.2
16,8/17/23,439,6.1
16,8/18/23,794,6.5
16,8/19/23,454,6.7
16,8/20/23,402,6.5
16,8/21/23,426,6.6
16,8/22/23,515,6.8
16,8/23/23,513,6.8
16,8/24/23,738,6.8
16,8/25/23,682,6.2
16,8/26/23,462,6
16,8/27/23,626,6.1
16,8/28/23,502,6.8
16,8/29/23,553,6.4
16,8/30/23,755,6.5
16,8/31/23,662,6.4
16,9/1/23,771,6
16,9/2/23,793,6.5
16,9/3/23,657,6.4
16,9/4/23,659,6.8
16,9/5/23,522,6.1
16,9/6/23,627,6.2
16,9/7/23,423,6.4
16,9/8/23,403,6.7
16,9/9/23,409,6.6
16,9/10/23,645,6.3
16,9/11/23,572,6.5
16,9/12/23,732,6.6
16,9/13/23,701,6.7
16,9/14/23,564,6.1
16,9/15/23,703,6.5
16,9/16/23,742,6.4
16,9/17/23,651,6
17,8/3/23,631,6.6
17,8/4/23,627,6.2
17,8/5/23,491,6.4
17,8/6/23,647,6.1
17,8/7/23,505,6.6
17,8/8/23,617,6
17,8/9/23,552,6.5
17,8/10/23,744,6.3
17,8/11/23,735,6.1
17,8/12/23,462,6
17,8/13/23,798,6.5
17,8/14/23,737,6.6
17,8/15/23,607,6.2
17,8/16/23,543,6.2
17,8/17/23,587,6.3
17,8/18/23,672,6.7
17,8/19/23,595,6.8
17,8/20/23,716,6.7
17,8/21/23,736,6.3
17,8/22/23,542,6.6
17,8/23/23,625,6.8
17,8/24/23,765,6.5
17,8/25/23,552,6.1
17,8/26/23,416,6.6
17,8/27/23,697,6.6
17,8/28/23,762,6.5
17,8/29/23,598,6.1
17,8/30/23,632,6.5
17,8/31/23,728,6.3
17,9/1/23,657,6.3
17,9/2/23,406,6.1
17,9/3/23,461,6.3
17,9/4/23,424,6.6
17,9/5/23,743,6.1
17,9/6/23,672,6.6
17,9/7/23,400,6.8
17,9/8/23,732,6.5
17,9/9/23,472,6.1
17,9/10/23,648,6
17,9/11/23,786,6.3
17,9/12/23,482,6.6
17,9/13/23,716,6.3
17,9/14/23,743,6.6
17,9/15/23,575,6.3
17,9/16/23,710,6.6
18,8/3/23,623,6.2
18,8/4/23,463,6.4
18,8/5/23,440,6.3
18,8/6/23,451,6.5
18,8/7/23,798,6.6
18,8/8/23,556,6.5
18,8/9/23,794,6
18,8/10/23,653,6
18,8/11/23,407,6.7
18,8/12/23,478,6.8
18,8/13/23,528,6.5
18,8/14/23,769,6.4
18,8/15/23,723,6.1
18,8/16/23,688,6
18,8/17/23,479,6.1
18,8/18/23,408,6
18,8/19/23,489,6.2
18,8/20/23,630,6.2
18,8/21/23,540,6.4
18,8/22/23,413,6.1
18,8/23/23,505,6.3
18,8/24/23,414,6.6
18,8/25/23,448,6.4
18,8/26/23,660,6.6
18,8/27/23,757,6.8
18,8/28/23,544,6.1
18,8/29/23,699,6.8
18,8/30/23,637,6.4
18,8/31/23,772,6.6
18,9/1/23,746,6.2
18,9/2/23,579,6.3
18,9/3/23,740,6.1
18,9/4/23,442,6.6
18,9/5/23,730,6.5
18,9/6/23,423,6.2
18,9/7/23,493,6.2
18,9/8/23,587,6.1
18,9/9/23,404,6.4
18,9/10/23,408,6.5
18,9/11/23,555,6.3
18,9/12/23,440,6.5
18,9/13/23,501,6
18,9/14/23,750,6.6
18,9/15/23,491,6.5
18,9/16/23,705,6.8
19,8/3/23,492,6.3
19,8/4/23,552,6.5
19,8/5/23,646,6.1
19,8/6/23,405,6.8
19,8/7/23,661,6.3
19,8/8/23,651,6.5
19,8/9/23,747,6.1
19,8/10/23,693,6.5
19,8/11/23,486,6.7
19,8/12/23,486,6.8
19,8/13/23,655,6.6
19,8/14/23,503,6.5
19,8/15/23,763,6.3
19,8/16/23,599,6.7
19,8/17/23,587,6.1
19,8/18/23,790,6.7
19,8/19/23,415,6.5
19,8/20/23,708,6.2
19,8/21/23,539,6.3
19,8/22/23,745,6.2
19,8/23/23,515,6.2
19,8/24/23,637,6.7
19,8/25/23,455,6.7
19,8/26/23,576,6.5
19,8/27/23,606,6
19,8/28/23,623,6.4
19,8/29/23,498,6.2
19,8/30/23,411,6.6
19,8/31/23,789,6.1
19,9/1/23,459,6.4
19,9/2/23,401,6.5
19,9/3/23,583,6.1
19,9/4/23,434,6.8
19,9/5/23,563,6.6
19,9/6/23,497,6.1
19,9/7/23,680,6.2
19,9/8/23,553,6.6
19,9/9/23,611,6.2
19,9/10/23,588,6.2
19,9/11/23,503,6.4
19,9/12/23,449,6
19,9/13/23,417,6.6
19,9/14/23,437,6.1
19,9/15/23,536,6.5
19,9/16/23,571,6.3
20,8/3/23,708,6.1
20,8/4/23,597,6.7
20,8/5/23,483,6.7
20,8/6/23,729,6.7
20,8/7/23,430,6
20,8/8/23,529,6.2
20,8/9/23,767,6.3
20,8/10/23,648,6.4
20,8/11/23,592,6.6
20,8/12/23,702,6.7
20,8/13/23,747,6.5
20,8/14/23,611,6.4
20,8/15/23,562,6
20,8/16/23,693,6
20,8/17/23,626,6.2
20,8/18/23,717,6.4
20,8/19/23,722,6.1
20,8/20/23,621,6.7
20,8/21/23,458,6.7
20,8/22/23,596,6
20,8/23/23,770,6.1
20,8/24/23,405,6.4
20,8/25/23,796,6.8
20,8/26/23,575,6.1
20,8/27/23,415,6.6
20,8/28/23,453,6.3
20,8/29/23,727,6.4
20,8/30/23,494,6.2
20,8/31/23,612,6.8
20,9/1/23,502,6.5
20,9/2/23,742,6.5
20,9/3/23,748,6.4
20,9/4/23,611,6.2
20,9/5/23,486,6.7
20,9/6/23,607,6.2
20,9/7/23,513,6.4
20,9/8/23,591,6.6
20,9/9/23,441,6.5
20,9/10/23,637,6.2
20,9/11/23,560,6.2
20,9/12/23,588,6.6
20,9/13/23,518,6.1
20,9/14/23,570,6.3
20,9/15/23,505,6.8
20,9/16/23,759,6.6
21,8/3/23,530,6.1
21,8/4/23,626,6.7
21,8/5/23,516,6.5
21,8/6/23,592,6
21,8/7/23,726,6.4
21,8/8/23,443,6.2
21,8/9/23,727,6.4
21,8/10/23,625,6.1
21,8/11/23,510,6.5
21,8/12/23,460,6.6
21,8/13/23,673,6.1
21,8/14/23,504,6.5
21,8/15/23,660,6.2
21,8/16/23,418,6.8
21,8/17/23,514,6.7
21,8/18/23,778,6.4
21,8/19/23,615,6.3
21,8/20/23,785,6.4
21,8/21/23,636,6.7
21,8/22/23,576,6.4
21,8/23/23,501,6.7
21,8/24/23,594,6.1
21,8/25/23,640,6.8
21,8/26/23,553,6.6
21,8/27/23,659,6.7
21,8/28/23,600,6.1
21,8/29/23,500,6.5
21,8/30/23,653,6.2
21,8/31/23,559,6.7
21,9/1/23,511,6.6
21,9/2/23,758,6.2
21,9/3/23,448,6.3
21,9/4/23,620,6.1
21,9/5/23,686,6.1
21,9/6/23,538,6.2
21,9/7/23,784,6.1
21,9/8/23,550,6.2
21,9/9/23,470,6.4
21,9/10/23,698,6.2
21,9/11/23,610,6.4
21,9/12/23,479,6.4
21,9/13/23,630,6.3
21,9/14/23,661,6.2
21,9/15/23,528,6.4
21,9/16/23,454,6.4
22,8/3/23,620,6.2
22,8/4/23,800,6.5
22,8/5/23,602,6
22,8/6/23,721,6
22,8/7/23,571,6.3
22,8/8/23,631,6.8
22,8/9/23,418,6
22,8/10/23,783,6.1
22,8/11/23,480,6.7
22,8/12/23,771,6.4
22,8/13/23,519,6.7
22,8/14/23,713,6.8
22,8/15/23,405,6.3
22,8/16/23,551,6.1
22,8/17/23,651,6.7
22,8/18/23,734,6.6
22,8/19/23,479,6.7
22,8/20/23,749,6.7
22,8/21/23,678,6
22,8/22/23,534,6.2
22,8/23/23,596,6.6
22,8/24/23,542,6.3
22,8/25/23,609,6.1
22,8/26/23,681,6.3
22,8/27/23,402,6.1
22,8/28/23,745,6.4
22,8/29/23,751,6.4
22,8/30/23,665,6.5
22,8/31/23,596,6.5
22,9/1/23,783,6.2
22,9/2/23,519,6.2
22,9/3/23,736,6.3
22,9/4/23,533,6.7
22,9/5/23,414,6.6
22,9/6/23,473,6.7
22,9/7/23,428,6
22,9/8/23,665,6.4
22,9/9/23,560,6.8
22,9/10/23,782,6.8
22,9/11/23,765,6.2
22,9/12/23,724,6.3
22,9/13/23,440,6.3
22,9/14/23,492,6.7
22,9/15/23,664,6.6
22,9/16/23,578,6.8
23,8/3/23,745,6
23,8/4/23,476,6.5
23,8/5/23,473,6.2
23,8/6/23,633,6
23,8/7/23,627,6.4
